date,uuid,M,distribution,n_trials,n_trials_fit,seed,bays_source,omega_bays,gamma_total_bays,m_fit_reference,lambda_hat,gamma_hat_perneuron,sigma_name,sigma_hat,omega_hat,gamma_total_hat,gamma_perneuron_sweep,fit_cost,fit_converged,final_fits,output_dir
2026-07-09T18:40:35,04a0169e-b926-41ae-97bd-75ed362d9f67,100,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.90242,1.143275,sigma_lambda,0.107084,0.814362,114.3275,1.143275,0.40988725,True,omega=0.8144; gamma_total=114.3Hz; sigma_lambda=0.1071,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260709_183953_04a0169e
2026-07-09T18:58:16,80ef139d-5fbe-4cc4-80fa-6125478dc191,1000,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.867642,1.156212,sigma_lambda,0.111318,0.752803,115.6212,0.115621,0.41370959,True,omega=0.7528; gamma_total=115.6Hz; sigma_lambda=0.1113,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260709_184358_80ef139d
2026-07-12T10:18:54,91df32f7-9a32-4310-97fd-d069a0ec0165,1000,sparse_broad,5000,5000,42,inline,0.52,119.0,100,1.068777,1.1367,sigma_lambda,0.100495,1.142284,113.67,0.11367,0.63362722,True,omega=1.1423; gamma_total=113.7Hz; sigma_lambda=0.1005,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260712_080844_91df32f7
2026-07-25T12:08:30,91c95203-75e8-43db-9cbf-c3921a55e43f,100,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.90242,1.143275,sigma_lambda,0.107084,0.814362,114.3275,1.143275,0.40988725,True,omega=0.8144; gamma_total=114.3Hz; sigma_lambda=0.1071,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260725_120801_91c95203
2026-07-25T20:46:10,333fac39-a8fd-45aa-9c65-48063c9003c9,1000,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.867642,1.156212,sigma_lambda,0.111318,0.752803,115.6212,0.115621,0.41370959,True,omega=0.7528; gamma_total=115.6Hz; sigma_lambda=0.1113,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260725_204524_333fac39
2026-07-26T13:55:51,9f1334fe-0aa8-49ca-8765-f77a374b842d,1000,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.867642,1.156212,sigma_lambda,0.111318,0.752803,115.6212,0.115621,0.41370959,True,omega=0.7528; gamma_total=115.6Hz; sigma_lambda=0.1113,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260726_135511_9f1334fe
2026-08-03T19:41:35,fa361b1e-5d54-4b9a-a506-45e655f2d125,1000,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.867642,1.156212,sigma_lambda,0.111318,0.752803,115.6212,0.115621,0.41370959,True,omega=0.7528; gamma_total=115.6Hz; sigma_lambda=0.1113,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260803_194045_fa361b1e
2026-08-06T16:44:42,bf01febd-911e-4562-84c5-b7fdf3526e52,100,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.90242,1.143275,sigma_lambda,0.107084,0.814362,114.3275,1.143275,0.40988725,True,omega=0.8144; gamma_total=114.3Hz; sigma_lambda=0.1071,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260806_164413_bf01febd
2026-08-06T16:50:21,266a8332-fa09-4e60-8cf9-75596adce9fe,100,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.90242,1.143275,sigma_lambda,0.107084,0.814362,114.3275,1.143275,0.40988725,True,omega=0.8144; gamma_total=114.3Hz; sigma_lambda=0.1071,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260806_164946_266a8332
2026-08-06T18:46:09,ba948d5d-7ef8-4476-aa5f-3ca059c32a87,100,folded_normal,5000,5000,42,inline,0.52,119.0,100,0.90242,1.143275,sigma_lambda,0.107084,0.814362,114.3275,1.143275,0.40988725,True,omega=0.8144; gamma_total=114.3Hz; sigma_lambda=0.1071,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260806_184543_ba948d5d
2026-08-06T18:50:29,23e1bbde-673d-4079-be2e-35d32a0972b6,100,gamma,5000,5000,42,inline,0.52,119.0,100,0.847848,1.195597,cv,0.102111,0.718846,119.5597,1.195597,0.37778617,True,omega=0.7188; gamma_total=119.6Hz; cv=0.1021,/Users/yashbharti/Desktop/Research/mphil/mixed_selectivity_pfc_v0.1/equivalence_model_v0.1/experiments/bays_2024/result_data/bays_fig5_20260806_184925_23e1bbde
