model,set_size,sd_actual_deg,sd_normal_deg,w,kappa
bays,1,15.3838,15.2208,0.9988,14.6858
bays,2,24.3438,22.1610,0.9817,7.2217
bays,3,32.2354,27.5798,0.9560,4.8834
bays,4,39.5294,30.4984,0.9051,4.1179
bays,5,45.9966,33.5307,0.8576,3.5293
bays,6,50.0441,34.8318,0.8167,3.3227
bays,7,52.7954,35.8856,0.7920,3.1714
bays,8,59.0622,37.1304,0.7201,3.0083
gp,1,21.0554,12.0692,0.9245,23.0461
gp,2,28.9172,17.5096,0.8959,11.2291
gp,3,37.4173,18.9240,0.8162,9.6924
gp,4,47.3878,23.7770,0.7382,6.3515
gp,5,53.5935,24.0030,0.6704,6.2438
gp,6,59.7693,26.0840,0.6141,5.3827
gp,7,64.0683,29.7368,0.5896,4.2954
gp,8,67.3299,27.6628,0.5469,4.8581
bays,AGG,41.3052,27.6085,0.8570,4.8746
gp,AGG,48.4577,19.6234,0.6973,9.0529
